"Product Name","Product Image","Price (BDT)","Original Price (BDT)","Discount Percentage"
"Healthy Hearts Nut & Date Tray","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/650405819_1418583772734895_6474648451643079961_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeE8o9yACOPo1Q7NN6TjbuH5sF2bviAnfiWwXZu-ICd-JQxbr0MpWQPqEln0f1fJvUMhfMr53E7VfYq-7OQ4U06a&_nc_ohc=tz2_6I-4nzUQ7kNvwGSv1gz&_nc_oc=AdqWqgTcnfe1gvjZTWiWIFRxYFlRsHEnaFmpkHXDX0qNeSl2zYbgVSdI4cmfMgGLDvQ&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af0CLq2jDYJ-aFffvh0ZVbA115jws46WcekkOpCmm3KWSA&oe=69EAAEC2","8000","",""
"Giant Red Rose Bouquet with Ferrero Rocher Heart Center","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/616795206_1229645515759929_165291655046827944_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeFlO7z_dw4B18uB9eV_Z0CAMoLYH1UP-2kygtgfVQ_7aWYl0Ia81OjXcwJUyf82L2FTa-cj8sfbSFyNySX4R7tg&_nc_ohc=RJHMSaRE0EUQ7kNvwH9Q2a6&_nc_oc=AdryxRrow3rtT-8zecAZepihTblM1OPfBDN3GGIbS6y7AwDce7BcP8a-MWRmH-yS-qM&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af3R2Gl14jdbDRWc-eaxXE5S6ygrUMcna6SDQYmzWf1Tqw&oe=69EAACE6","15000","",""
"Luxurious chocolate bouquet","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/304904160_4850773998355946_7553139178387965239_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeGeOt9trVDTK7OOv-NTxxHRYZW1L9DoKBphlbUv0OgoGkCz_bf3xRZt6mMWKup-snox_FrlGpAFJwOUa_0wqefg&_nc_ohc=O-PFHNo3zLoQ7kNvwExIQxp&_nc_oc=AdqcUNpFxYfiA4BhReLaL_1zhymjIYWbKxLRtHVFP0uES36ijmr1ankOJe_nssK5uRk&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af0dA69bHUST5VmxaGmHgK3JT_kgPVh1veEgH58TKvyqeA&oe=69EA96C6","7500","",""
"Gift combo-5","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/288960967_5124450514334512_729897834235041236_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeHs5A9rLWfS-xsFNi5JHN_IqSGakkXBuGGpIZqSRcG4YaLoggen9dvrGyPvdvFVoNpgptG5eJaZTLp57uDAHj6D&_nc_ohc=5mHdlqMwkiUQ7kNvwF_HNZ-&_nc_oc=Adqsbl8EqUcWyxY0N5mBSEiYqFa9PjsFjKXxkoOCoGW30g0k1OwqLqxsKTc4G8aoeJM&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af2Ff3FyfEU5jC9wLsOQpEBtZ33L-lrKJr4M0vA0DpJUIw&oe=69EAA361","4500","",""
"Love bouquet for anniversary","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/299507396_5363567130403989_8427610298885695768_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeFQIVDgvePG-j3yMXh2eQdVpRHhMC6mRYqlEeEwLqZFim178_RuXgCiUWni4VvuQS5Kz8AdDWpMnw2Gbj-Y2hXb&_nc_ohc=g7spaBUYHM4Q7kNvwET_tcm&_nc_oc=Adq2LKKbQgM0u77FQB-d-c5IrpcCYlbSKslvC1nHNIQ_h4RSCA9FOgX-XR00DOU20xs&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af0a7IHYdtReSAq9NmBmougZ-x0Rgvj-YF8XOE5YdcHbrQ&oe=69EAA0C3","3600","",""
"Ramadan special packages","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/277084977_4988113244606095_7560447778146503475_n.jpg?stp=c0.0.884.884a_dst-jpg_tt6&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeES3p_3Y7tvvFNtdh7LlvwIoDt_Ol96kf6gO386X3qR_heRwJMn7UyVz7BkUDsL5mT8Jtm09xEuM8Fy7XLObbEZ&_nc_ohc=dS4ilfxHYbQQ7kNvwF_-Z5b&_nc_oc=AdrBr02pC_URE-cPZNkknFrkBeKuMhm8ea4dGfqMCmYYtrHuXU6A_VU7WUAk1gTqmoM&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af3Sy-qQhfXtqkF8alLSJzYaV2hCeXd0ne3_NHFvHGq48g&oe=69EA96C9","5000","",""
"Golden Balloon Bouquet","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/279036615_4995886397164163_5438987803224717969_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeE4GcgpoBluMVYChXREW0rPFu0hB11Ya9AW7SEHXVhr0B2146Oj8s-v2qTcnYQnChaj9ieSTfN9xDmwPkl7O40j&_nc_ohc=uU-c9SVbHBIQ7kNvwE0bw_h&_nc_oc=AdoTzzxeiinFbNP5L-hP8TW22mvDKOD8HfH1cNOHD6wsea4h5rUdwQgLgz9wCtoH8bQ&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af2IPsvkQOFcStOaoPw0joMS75xhMXEhBOdPqcbPLCp11A&oe=69EA9A09","2000","",""
"gift box -1","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/271382210_4644004535666605_5741213471915881543_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeFbwCPUggCbRGeeioUMxmz0f_99IInnQKp__30giedAqj2MHk2H-cH_bk_TsjSyXqRBhd3odeYYANzJXo-UKoj1&_nc_ohc=LsB4AxKFbzgQ7kNvwGizw7P&_nc_oc=AdpW3fy3QvlSznOvNnZ_QsaEamk4P2udf9hK1eGdMcgsqST46OUuzE4Xxn_rGz8C5KY&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af278o-hTFZTsCz7m9X3xhFMdSYZvI4cjIWKhgKRG4U4Jg&oe=69EAAECB","3600","",""
"Balloon bouquet with chocolate box","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/243252854_4222904441151237_9172123220869842503_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeHR7ZGKtQ-7bJ3NzOtwobnAgOjdhk1COfmA6N2GTUI5-Rt6C0g8Zsiz3dy1PLnYV9oM4NK3MYPQ6u2ts5XSne4k&_nc_ohc=s961jkik4c4Q7kNvwGdBu34&_nc_oc=AdoNEo8PwGvEVzE31s9AcrLhcODAS8KJUW40r0pxnPazvMDHv7HE5FxWfXHpOL_e-5Q&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af1H9IL798rWP6fG9rfcsxWyXKVhE2_Iz8IBTb9R18AFbA&oe=69EA7B41","4600","",""
"chocolate bouquet with cake","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/298611851_5632119046853953_6027406009766613778_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeHwuRfAx-xeSrMyC4FoqVlO9pv8iN3Bb_X2m_yI3cFv9fJOjxaNpovz7DxWC3yIkzifgXQTghsvE_hHTQuDMm6U&_nc_ohc=A5hzzaIC95gQ7kNvwG9aOjt&_nc_oc=AdrBifiCTdx1S9tlhIg1sxOHxVJyTKLWEMCbHFwGtlV0RgmWBoacO5PPxxD46GsD1QU&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=JKAezW3rgApusC6vRpa33w&_nc_ss=7a3a8&oh=00_Af1fMbQKuxOoKtQw2-GctviogFdzE5lenIQl0bZdwpOjww&oe=69EA9626","4400","",""
"Islamic package","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/218253437_3954642811311836_55022158993241720_n.jpg?stp=c0.0.960.960a_dst-jpg_p2048x2048_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeEbHHPx5_aNF_khbQgmkV3JLv5thkETITou_m2GQRMhOkN0gbY-FKn2FcmVp1SatIHl8oHrygTRjiIOfxNHPAsE&_nc_ohc=MVE5kov9FRAQ7kNvwGAfa0x&_nc_oc=AdpGhDM53cZtLGpCVIidy3Gz581NjFcH75balhuRTxf_JMHB44UQHBnFsRLNqSUVRfg&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=ooLEQSli28f6NeUJaKTY0g&_nc_ss=7a3a8&oh=00_Af3ACdyScAX50gDidtZT_dxt5CZpxQfln1YJfc9jC27Yjw&oe=69EA9A73","5700","",""
"Student package","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/218393624_3158390824285812_8909033922276488299_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeEJumZMh68XjfU63azwadBC1cf3uDghXsvVx_e4OCFeyw1CaeN23lFmv36PLf_1_Hy-DkgV_KPJrHc5UhNm3H9d&_nc_ohc=U8dAHKbqIbQQ7kNvwHvDOSR&_nc_oc=AdrZCGFdCD66-xF0auhAR2la5RceFyrJMLeryAe2nbPAmNy3C56rDBuxtI_8s3WbmNY&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=ooLEQSli28f6NeUJaKTY0g&_nc_ss=7a3a8&oh=00_Af293yJVveSnDx6G1euvoZt3NHnBTTCS_VIpg95Y_Xw6GQ&oe=69EAAC38","1400","",""
"Mini Ballon bouquet","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/307964361_8331664386851463_7920889462368262185_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeHPm27Kkpe84D3Twy7LA8O8Wro01hbrzNtaujTWFuvM2_vbL8GOfcC4uyvUcOfR6rXNeRtapx09rgt1_OdVbd7Y&_nc_ohc=7LqSe2IqfD8Q7kNvwFawl03&_nc_oc=AdqZm7C6WLDZpezwvFE9VQCcnrQrQnO-x3fdCmuu6pWJJAXXi-oMOLr6n3wrW5tzlZo&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=ooLEQSli28f6NeUJaKTY0g&_nc_ss=7a3a8&oh=00_Af1bezSLq7l3bkN7W0yixfUQRU1ipkaEDJawT54MANXFAg&oe=69EA9116","1700","",""
"Corporate Gift Hamper","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/278516194_5079734145481130_1663026940620166825_n.jpg?stp=c0.0.718.718a_dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeHV29wF7vVBAugaJOLjsmTR_7FQ3FU7y07_sVDcVTvLTnRVICsIBXHRUD67y9s-ygcHHpL87W3sAhk5bP9zIYpq&_nc_ohc=rzIY3iH2hRUQ7kNvwH31QTx&_nc_oc=Adqk5NI__ZgjYJ1qwLj-J4C8tZlxqweCNneraNfQK94xaUOflyKmNQcNwPljf2W6yug&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=ooLEQSli28f6NeUJaKTY0g&_nc_ss=7a3a8&oh=00_Af3uv9cy91Hwzn3vP3F0q-9Nb8yP8hpjMPHR2BwGzCyGIQ&oe=69EA8DEE","4700","",""
"Love you box","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/277183234_4793417537434972_4737791358296281705_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=109&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeFxlf5o7IkAay2Yys9SS5NQJ8jsbRO2X8knyOxtE7ZfycdcyKdwPfKr4vTS5zHHQrYOCUleNW0radYwfRhI-XcT&_nc_ohc=o2IhbaRktacQ7kNvwEhYNFB&_nc_oc=AdobqhhGd4INVL_cBO7P_TBzBXyARXC0GbE5MFrcL3cmA_xzUcVdvtszcO6G5L4BfIY&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=ooLEQSli28f6NeUJaKTY0g&_nc_ss=7a3a8&oh=00_Af1mDsOX0ZMNhe61Hsohr-xkjbn2l_lDEj5o5-SoTX8COQ&oe=69EA992A","3500","",""
"Shari package","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/121630182_3467563276661206_2803699217011859035_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeFx6tGZoOzONW7mmpw5K81uUXovmT81075Rei-ZPzXTvo945oLRHklM7nM0vAgmSAJvuDdwtLPnqin0qOHjH_Qg&_nc_ohc=iA4UV6S2UrUQ7kNvwHMeNYv&_nc_oc=AdrN9w-sfs2_UYfjm9DSJMuKWTrdIHKGcD1rkMl9Q-10l0nZ6_pbMrjeaZ6JXTkF2hA&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=ooLEQSli28f6NeUJaKTY0g&_nc_ss=7a3a8&oh=00_Af1CZd4G2WT4sgBhEaK7rZ07X4Wy_4u5H4llHtEgufC3HA&oe=69EA942B","3800","",""
"Premium Rose bouquet","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/293847170_5675498695807041_4032249630916786916_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=111&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeH5otN68DzDKk_akR293Tu3SaWbhjefg65JpZuGN5-DrnV5qMcY3x1Qo4NRrpXGS-9erpPKOicZgySsPVXMWuJM&_nc_ohc=Gz9TEz65L2IQ7kNvwEXwgk_&_nc_oc=AdoIVC-uZ7WoEv-xomNXlG3zxN5vI9R7_GApVBJMF6WmHM_sWHTDxXQNMJ6exB2DiKk&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=ooLEQSli28f6NeUJaKTY0g&_nc_ss=7a3a8&oh=00_Af3x6wYgeGtOmIDwUS-HoVlkFCDhAMVup2oJyjC_4RSyqQ&oe=69EA984D","5000","",""
"iloveyou box","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/279956843_7835439439814325_8795182757707340539_n.jpg?stp=c0.0.960.960a_dst-jpg_p960x960_tt6&_nc_cat=111&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeE_atbUNP4nPOynzlFF2dH97ubW7iB-YRzu5tbuIH5hHH6WiWFZhdO04x6m15pHHnJdjUrjpjVxnMliE7vQinHM&_nc_ohc=tm_k1ZdncOgQ7kNvwFGbWxN&_nc_oc=AdrdwrbLt8EEcGmdnDe82o8RYjpnG0sJY8mbxtDGSOD4ei1-COrrHNbnyI88FBcJcOo&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=ooLEQSli28f6NeUJaKTY0g&_nc_ss=7a3a8&oh=00_Af2cLZo0UYXblVPxCeHWOtVn3UTLr5WjflVh50ASj0cNEw&oe=69EA7D19","3600","",""
"ILOVEYOU Box -","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/279646786_6150725208298736_7739479672288002007_n.jpg?stp=c0.0.890.890a_dst-jpg_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeFyf9ZXdWZjKCZZs50FVFOtNb9oW4Ii6kk1v2hbgiLqSVvnGmJPdEc4I3LeprNomgxdUnz8ax5WWGraDNiY8IFQ&_nc_ohc=QmrTSbzrQ48Q7kNvwG0YYoS&_nc_oc=AdorCepmi5kefsWwCzOJ-IG0-6-2BW38uUOWRw-_TtmLf8IHKr07utgMbRgOgf9BBQQ&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=ooLEQSli28f6NeUJaKTY0g&_nc_ss=7a3a8&oh=00_Af0lVRtGbx2C_GeL3W6PIBpzptT6dh9Rv8WqIJhqTQhaUw&oe=69EA8821","8000","",""
"love shape flowers and chocolate bouquet","https://scontent.fdac23-1.fna.fbcdn.net/v/t45.5328-4/277809144_5362827960417285_2292021689283136970_n.jpg?stp=c0.0.640.640a_dst-jpg_tt6&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_eui2=AeFk-OC9zhVXceP_FcDWVTZR6etwGc5dJEXp63AZzl0kRSX1lDQooHXBXtJeepjtNVQkJT9ICgFlw7gWYHj7w8xC&_nc_ohc=bJTWpTxOlVsQ7kNvwGBHPUd&_nc_oc=AdqDA2c1_F09SE519kOPTphFbSfQEELeXpVTqC_NJxIcPnXr-ExNEurff1KIA6y0NIg&_nc_zt=23&_nc_ht=scontent.fdac23-1.fna&_nc_gid=ooLEQSli28f6NeUJaKTY0g&_nc_ss=7a3a8&oh=00_Af0Ki2VfNwOd0oiO7mufTbcDvQDagBmd6KzACW_KOk1bgg&oe=69EAA8EB","4500","",""
